timestamp,country,part_category,unit_price,quantity,part_ID
2020-01-01 16:38:00,Europe,Engine,92.77,35,IDS_3054
2020-01-01 01:15:00,India,Interior,20526.59,40,IDS_3397
2020-01-01 08:54:00,Japan,Interior,29274.54,32,IDS_5703
2020-01-01 13:36:00,USA,Engine,281.29,19,IDS_8835
2020-01-01 18:52:00,Europe,Brake,420.7,40,IDS_5071
2020-01-02 01:28:00,India,Interior,6447.65,149,IDS_2080
2020-01-02 03:23:00,USA,Brake,401.0,25,IDS_4803
2020-01-02 06:43:00,India,Interior,6726.58,81,IDS_7489
2020-01-02 12:34:00,India,Engine,77338.07,4,IDS_3455
2020-01-02 12:12:00,Japan,Interior,29274.54,48,IDS_5703
2020-01-02 04:11:00,Japan,Brake,51381.09,10,IDS_5124
2020-01-02 18:27:00,India,Interior,8622.64,27,IDS_2696
2020-01-02 07:50:00,India,Brake,18651.92,29,IDS_2096
2020-01-02 01:02:00,USA,Engine,835.67,9,IDS_5468
2020-01-02 04:39:00,Japan,Suspension,78323.91,10,IDS_4897
2020-01-02 09:09:00,India,Brake,9185.58,13,IDS_1969
2020-01-02 16:28:00,India,Suspension,8848.82,29,IDS_9630
2020-01-02 04:22:00,India,Interior,6726.58,106,IDS_7489
2020-01-02 19:44:00,India,Interior,6447.65,99,IDS_2080
2020-01-02 07:15:00,India,Interior,8622.64,25,IDS_2696
2020-01-02 05:15:00,Japan,Brake,66654.81,25,IDS_2409
2020-01-02 02:42:00,India,Electronics,50590.83,4,IDS_7163
2020-01-02 02:05:00,Japan,Brake,14392.22,123,IDS_5728
2020-01-02 07:59:00,Europe,Brake,301.18,16,IDS_8153
2020-01-02 12:11:00,Japan,Brake,24531.82,19,IDS_4124
2020-01-02 10:51:00,USA,Engine,586.33,2,IDS_5945
2020-01-02 16:57:00,USA,Suspension,284.74,25,IDS_9510
2020-01-02 09:32:00,India,Suspension,22089.24,26,IDS_1897
2020-01-02 12:57:00,Japan,Electronics,97091.5,4,IDS_3605
2020-01-02 05:32:00,Japan,Brake,35075.56,31,IDS_6516
2020-01-02 23:04:00,India,Suspension,38514.35,42,IDS_6866
2020-01-02 00:46:00,USA,Brake,401.0,11,IDS_4803
2020-01-02 00:20:00,Japan,Interior,44438.67,21,IDS_8847
2020-01-02 07:22:00,USA,Engine,496.81,44,IDS_5211
2020-01-02 23:52:00,India,Engine,10829.03,17,IDS_2209
2020-01-02 21:23:00,USA,Engine,817.91,9,IDS_7552
2020-01-02 19:56:00,Europe,Electronics,159.61,12,IDS_3579
2020-01-02 10:22:00,Japan,Brake,24531.82,26,IDS_4124
2020-01-02 15:25:00,India,Suspension,22089.24,21,IDS_1897
2020-01-02 14:22:00,Europe,Electronics,435.29,7,IDS_2983
2020-01-02 09:57:00,USA,Brake,386.04,49,IDS_3327
2020-01-02 22:51:00,Japan,Brake,24531.82,41,IDS_4124
2020-01-02 08:51:00,USA,Engine,835.67,7,IDS_5468
2020-01-02 20:53:00,USA,Brake,386.04,26,IDS_3327
2020-01-02 14:03:00,Japan,Brake,25439.53,31,IDS_3876
2020-01-02 17:03:00,Japan,Electronics,97091.5,9,IDS_3605
2020-01-02 20:29:00,Japan,Brake,14392.22,178,IDS_5728
2020-01-02 15:16:00,USA,Brake,386.04,20,IDS_3327
2020-01-02 20:40:00,USA,Suspension,284.74,15,IDS_9510
2020-01-02 04:21:00,USA,Suspension,235.53,45,IDS_5060
2020-01-02 00:06:00,India,Suspension,8848.82,43,IDS_9630
2020-01-02 22:56:00,USA,Suspension,235.53,30,IDS_5060
2020-01-02 12:28:00,India,Interior,6942.77,200,IDS_3896
2020-01-02 02:47:00,India,Brake,31836.87,38,IDS_5732
2020-01-02 15:59:00,Japan,Brake,14392.22,137,IDS_5728
2020-01-02 19:11:00,Japan,Brake,35075.56,33,IDS_6516
2020-01-02 10:52:00,Europe,Suspension,199.22,23,IDS_5548
2020-01-02 07:47:00,India,Interior,6825.64,199,IDS_8772
2020-01-02 18:15:00,India,Interior,20526.59,39,IDS_3397
2020-01-02 05:32:00,India,Suspension,22089.24,10,IDS_1897
2020-01-02 04:21:00,India,Electronics,43950.94,7,IDS_5456
2020-01-02 10:32:00,Europe,Interior,111.04,43,IDS_4876
2020-01-02 04:30:00,India,Interior,8622.64,35,IDS_2696
2020-01-02 00:15:00,Japan,Electronics,97091.5,6,IDS_3605
2020-01-02 17:01:00,India,Interior,8622.64,29,IDS_2696
2020-01-02 18:38:00,India,Interior,11892.3,38,IDS_5419
2020-01-02 20:01:00,India,Brake,31836.87,37,IDS_5732
2020-01-02 15:43:00,India,Interior,6825.64,90,IDS_8772
2020-01-02 06:00:00,Europe,Brake,173.0,25,IDS_1319
2020-01-02 06:33:00,USA,Engine,835.67,1,IDS_5468
2020-01-02 05:19:00,India,Interior,6447.65,70,IDS_2080
2020-01-02 20:58:00,Europe,Brake,173.0,10,IDS_1319
2020-01-02 16:57:00,India,Electronics,43950.94,7,IDS_5456
2020-01-02 17:22:00,India,Brake,18651.92,46,IDS_2096
2020-01-02 19:40:00,Japan,Brake,25439.53,13,IDS_3876
2020-01-02 03:05:00,USA,Brake,315.92,24,IDS_4888
2020-01-02 05:18:00,Japan,Suspension,78323.91,6,IDS_4897
2020-01-02 06:35:00,Japan,Engine,133018.97,1,IDS_3518
2020-01-02 07:56:00,India,Interior,6726.58,162,IDS_7489
2020-01-02 00:52:00,India,Interior,20526.59,15,IDS_3397
