gameId,win,TEAM
JP1_340505476,False,blue
JP1_340505476,True,red
JP1_340611094,True,red
JP1_340611094,False,blue
JP1_340621330,True,red
JP1_340621330,False,blue
JP1_340652067,True,red
JP1_340652067,False,blue
JP1_341114767,False,red
JP1_341114767,True,blue
JP1_341171731,False,blue
JP1_341171731,True,red
JP1_341395394,False,blue
JP1_341395394,True,red
JP1_341427258,True,blue
JP1_341427258,False,red
JP1_341601116,False,blue
JP1_341601116,True,red
JP1_341639551,False,red
JP1_341639551,True,blue
JP1_341644354,True,red
JP1_341644354,False,blue
JP1_341851967,True,blue
JP1_341851967,False,red
JP1_342282155,True,blue
JP1_342282155,False,red
JP1_342380906,True,red
JP1_342380906,False,blue
JP1_342426821,False,blue
JP1_342426821,True,red
JP1_342617627,True,blue
JP1_342617627,False,red
JP1_342628521,False,red
JP1_342628521,True,blue
JP1_342661179,False,red
JP1_342661179,True,blue
JP1_342857460,True,blue
JP1_342857460,False,red
JP1_342974607,False,red
JP1_342974607,True,blue
JP1_343124062,True,red
JP1_343124062,False,blue
JP1_343125507,True,red
JP1_343125507,False,blue
JP1_343333717,True,blue
JP1_343333717,False,red
JP1_343412213,True,blue
JP1_343412213,False,red
JP1_343474018,False,blue
JP1_343474018,True,red
JP1_343505324,False,red
JP1_343505324,True,blue
JP1_343558030,True,red
JP1_343558030,False,blue
JP1_343575338,False,red
JP1_343575338,True,blue
JP1_343661192,False,blue
JP1_343661192,True,red
JP1_343685729,False,red
JP1_343685729,True,blue
JP1_343703471,False,blue
JP1_343703471,True,red
JP1_343808265,True,red
JP1_343808265,False,blue
JP1_343839687,False,red
JP1_343839687,True,blue
JP1_343842888,False,blue
JP1_343842888,True,red
JP1_343926601,True,red
JP1_343926601,False,blue
JP1_343966572,False,red
JP1_343966572,True,blue
JP1_343999241,False,red
JP1_343999241,True,blue
JP1_344008947,False,red
JP1_344008947,True,blue
JP1_344160767,True,red
JP1_344160767,False,blue
JP1_344353452,False,red
JP1_344353452,True,blue
JP1_344357251,True,blue
JP1_344357251,False,red
JP1_344444044,False,blue
JP1_344444044,True,red
JP1_344568190,False,blue
JP1_344568190,True,red
JP1_344655563,False,blue
JP1_344655563,True,red
JP1_344685101,True,red
JP1_344685101,False,blue
JP1_344699614,True,blue
JP1_344699614,False,red
JP1_344702526,False,blue
JP1_344702526,True,red
JP1_344708277,True,blue
JP1_344708277,False,red
JP1_344773516,False,red
JP1_344773516,True,blue
JP1_344786185,True,red
JP1_344786185,False,blue
JP1_345013680,True,blue
JP1_345013680,False,red
JP1_345015569,False,blue
JP1_345015569,True,red
JP1_345042042,True,blue
JP1_345042042,False,red
JP1_345098887,False,red
JP1_345098887,True,blue
JP1_345121173,True,red
JP1_345121173,False,blue
JP1_345131520,False,red
JP1_345131520,True,blue
JP1_345149025,True,blue
JP1_345149025,False,red
JP1_345212703,False,red
JP1_345212703,True,blue
JP1_345224722,True,red
JP1_345224722,False,blue
JP1_345358507,False,blue
JP1_345358507,True,red
JP1_345362409,False,red
JP1_345362409,True,blue
JP1_345362946,False,blue
JP1_345362946,True,red
JP1_345390626,False,blue
JP1_345390626,True,red
JP1_345458106,False,blue
JP1_345458106,True,red
JP1_345478613,True,blue
JP1_345478613,False,red
JP1_345578403,True,red
JP1_345578403,False,blue
JP1_345588922,True,blue
JP1_345588922,False,red
JP1_345612874,False,red
JP1_345612874,True,blue
JP1_345883329,False,red
JP1_345883329,True,blue
JP1_345922636,False,blue
JP1_345922636,True,red
JP1_345939887,False,red
JP1_345939887,True,blue
